UPDATE,NOTE,STATUS,CODE,CLASS,DISTRICT,DEPT,REG,PROVINCE,CITY,TOWN,BARANGAY,SITIO,REQUESTING PARTY,RECIPIENT,INDORSED BY,IND_DATE,DIS_DATE,TYPE OF DISASTER,AMT_REQD,,INFRA ,AGRI,SCHOOL,HEALTH,SHELTER,ENVIRONMENT,OTHERS,DATE_REQD,DATE_OCD,AMT_RECOM,RECOM_DATE,PURPOSE,PURPOSE1,CFMU_C1,CFMU_C2,LOC_DATE,LOC_CFMU,CMONTH,YEAR,ACT_TAKEN1,ACT_DATE1,ACT_TAKEN2,ACT_DATE2,REMARKS,REM_DEPT,NO OF PROJECTS,OTHERS
04/29/2013,CF,,NGA,,,LWUA,6,,,,,,CHAIRMAN RENE C. VILLA,LOCAL WATER UTILITIES ADMINISTRATION,DPWH SECRETARY ROGELIO L SINGSON,10/25/2013,,T QUINTA IN 2012," 7,337,329.40 ",," 7,337,329.40 ",,,,,,,04/29/2013,11/28/2013," 7,337,329.40 ",01/13/2014,REPAIR/REHABILITATION OF WATER SUPPLY SYSTEMS IN CAPIZ AND ILOILO,WATER SYSTEM,B,B5,,,04-13,2013,19,01/13/2014,,,"NDRRMC RECOMMENDED THE RELEASE OF P7,337,329.40 TO LWUA FOR OP APPROVAL",19,4,
11/26/2013,CF,,NGA,,,LWUA,3,AURORA,,DIPACULAO,,,CHAIRMAN RENE C. VILLA,LOCAL WATER UTILITIES ADMINISTRATION,DPWH SECRETARY ROGELIO L SINGSON,11/26/2013,,T LABUYO IN AUGUST 2013," 1,200,000.00 ",," 1,200,000.00 ",,,,,,,08/23/2013,12/10/2013," 1,200,000.00 ",01/13/2014,REHABILITATION OF DIPACULAO WATER DISTRICT ,WATER SYSTEM,B,B5,,,11-13,2013,19,01/13/2014,,,NDRRMC RECOMMENDED THE RELEASE OF P1.2MILLION TO LWUA FOR OP APPROVAL,19,1,
11/21/2013,CF,,LGU,,,,8,LEYTE,,SAN ISIDRO,,,MAYOR SUASAN YAP ANG,"SAN ISIDRO, LEYTE",,,,"T YOLANDA IN NOVEMBER 08, 2013",,,,,,,,,,11/15/2013,11/22/2013,,,REHABILITATION OF INFRASTRUCTURE PROJECT,OTHERS,B,B7,,,11-13,2013,12,12/27/2013,,,NDRRMC REFERRED TO OCDRO VIII FOR INCLUSION ON THE PDNA FOR T YOLANDA,12,1,
11/21/2013,CF,,LGU,,,,8,NORTHERN SAMAR,,SAN ROQUE,,,MAYOR DON L ABALON,"SAN ROQUE, NORTHERN SAMAR",,,,"T YOLANDA IN NOVEMBER 08, 2013",,,,,,,,,,,11/22/2013,,,REHABILITATION OF INFRASTRUCTURE PROJECT,OTHERS,B,B7,,,,,12,12/27/2013,,,NDRRMC REFERRED TO OCDRO VIII FOR INCLUSION ON THE PDNA FOR T YOLANDA,12,1,
11/18/2013,CF,,LGU,,,,2,CAGAYAN,,PIAT,,,MAYOR R CARMELO O VILLACETE,"PIAT, CAGAYAN",,,,T VINTA IN 2013,,,,,,,,,,11/05/2013,11/18/2013,,,FINANCIAL ASSISTANCE ,FA,A,A1,,,11-13,2013,12,12/27/2013,,,NDRRMC REFERRED TO OCDRO II FOR APPROPRIATE ACTION,12,1,
11/27/2013,CF,,LGU,,,,3,ZAMBALES,,,,,MS MA REMEDIOS BUENO COADY,ZAMBALES,,,,,,,,,,,,,,11/19/2013,11/27/2013,,,IMPROVEMENT/REHABILITATION OF SLOPE PROTECTION WORKS OF THE ROSABAN-POONBATO-BELBEL AND POONBATO-LIGLIG ROADS,ROAD,B,B1,,,11-13,2013,13,01/29/2014,,,NDRRMC REFERRED SAID REQUEST TO OCDRO 3 FOR APPROPRIATE ACTION ,13,2,
01/20/2014,CF,,NGA,,,DPWH,10,,,,,,SEC ROGELIO L SINGSON,DPWH REGION 10,,,,TS SENDONG 2011," 137,107,000.00 ",," 137,107,000.00 ",,,,,,,01/20/2014,12/09/2013," 137,107,000.00 ",01/22/2014,RECONSTRUCTION/REPLACEMENT OF FLOOD CONTROL WORKS AND DRAINAGE STRUCTURES,OTHERS,B,B7,,,01-14,2014,19,01/22/2014,,,NDRRMC RECOMMENDED THE RELEASE OF P137.107M CF FOR OP APPROVAL,19,5,
12/09/2013,CF,,LGU,,,,1,ILOCOS NORTE,,VINTAR,,,MAYOR JOSE G FORONDA,"VINTAR, ILOCOS NORTE",,,,T ODETTE IN 2013," 104,819,000.00 ",," 104,819,000.00 ",,,,,,,10/08/2013,12/09/2013,,,REPAIR OF THE PORTION OF THE VINTAR FLOOD CONTROL STRUCTURE (DIKE) LOCATED AT BARANGAY #5,FLOOD CONTROL ,B,B3,,,10-13,2013,12,01/27/2014,,,NDRRMC REFERRED THE REQUEST TO OCDR=O 1 FOR APPROPRIATE ACTION,12,1,
12/26/2013,CF,,LGU,,,,10,BUKIDNON,,LIBONA,,,MAYOR LEANARDO GENESIS T CALINGGASAN,"LIBONA, BUKIDNON",,,,TS SENDONG 2011," 7,900,000.00 ",," 7,900,000.00 ",,,,,,,10/29/2013,12/26/2013,,,"CONCRETING OF ACCESS ROAD AND CONSTRUCTION OF DRAINAGE SYSTEM (LEADING TO PAGLAUM RESETTLEMENT AREA), BRGY POBLACION",ROAD,B,B1,,,10-13,2013,18,01/28/2014,,,NDRRMC REFERRED TO DPWH FOR RE-ASSESSMENT AND RECOMMENDATION ,18,1,
11/25/2013,CF,,LGU,,,,16,MAGUINDANAO,,AMPATUAN,,,MAYOR DATU RASUL M SANGKI,"AMPATUAN, MAGUINDANAO",,,,FLASHFLOOD IN JULY 2013," 8,000,000.00 ",," 8,000,000.00 ",,,,,,,11/25/2013,09/25/2013,,,REPAIR/REHABILITATION OF BARANGAY ROADS ,ROAD,B,B1,,,09-13,2013,18,01/28/2014,,,NDRRMC REFERRED TO DPWH FOR RE-ASSESSMENT AND RECOMMENDATION ,18,1,
